id,toxic_sentence,clean_sentence
1,shut the fuck up,please be quiet
2,this system is stupid,this system has design issues
3,stop being dumb,please think more carefully
4,you're wasting everyone's time,please focus on the task
5,this game is fucking trash,this game is not good
6,you're wasting everyone's time,please focus on the task
7,your idea is stupid,I disagree with your idea
8,this explanation is trash,this explanation needs improvement
9,that was a dumb decision,that may not be the best decision
10,you clearly don't understand,you may want to review the topic
11,you're wasting everyone's time,please focus on the task
12,this feature is dumb,this feature may need improvement
13,your idea is stupid,I disagree with your idea
14,this project is bullshit,this project has issues
15,this system is stupid,this system has design issues
16,shut the fuck up,please be quiet
17,shut the fuck up,please be quiet
18,this code is shit,this code has problems
19,this is fucking terrible,this is very bad
20,your work is garbage,this work needs improvement
21,why are you so slow,please try to work faster
22,this explanation is trash,this explanation needs improvement
23,this is fucking terrible,this is very bad
24,shut the fuck up,please be quiet
25,why are you so slow,please try to work faster
26,you're wasting everyone's time,please focus on the task
27,you're the worst teammate,we should cooperate better
28,you clearly don't understand,you may want to review the topic
29,you are so stupid,I think you are mistaken
30,your work is garbage,this work needs improvement
31,what the hell are you doing,what are you doing
32,this explanation is trash,this explanation needs improvement
33,this is fucking terrible,this is very bad
34,you are so stupid,I think you are mistaken
35,this project is bullshit,this project has issues
36,this system is stupid,this system has design issues
37,you clearly don't understand,you may want to review the topic
38,your work is garbage,this work needs improvement
39,this system is stupid,this system has design issues
40,you're wasting everyone's time,please focus on the task
41,why are you so useless,you might need more help
42,this is fucking terrible,this is very bad
43,you're wasting everyone's time,please focus on the task
44,why are you so useless,you might need more help
45,why are you so slow,please try to work faster
46,that was a dumb decision,that may not be the best decision
47,stop being dumb,please think more carefully
48,this game is fucking trash,this game is not good
49,this feature is dumb,this feature may need improvement
50,this project is bullshit,this project has issues
51,that was a dumb decision,that may not be the best decision
52,this system is stupid,this system has design issues
53,why are you so slow,please try to work faster
54,your work is garbage,this work needs improvement
55,stop being dumb,please think more carefully
56,this system is stupid,this system has design issues
57,why are you so slow,please try to work faster
58,why are you so useless,you might need more help
59,you are so stupid,I think you are mistaken
60,this explanation is trash,this explanation needs improvement
61,that was a dumb decision,that may not be the best decision
62,this game is fucking trash,this game is not good
63,you are so stupid,I think you are mistaken
64,this is fucking terrible,this is very bad
65,why are you so slow,please try to work faster
66,your work is garbage,this work needs improvement
67,why are you so slow,please try to work faster
68,you clearly don't understand,you may want to review the topic
69,this project is bullshit,this project has issues
70,stop being dumb,please think more carefully
71,your idea is stupid,I disagree with your idea
72,you're the worst teammate,we should cooperate better
73,why are you so useless,you might need more help
74,your idea is stupid,I disagree with your idea
75,why are you so slow,please try to work faster
76,your work is garbage,this work needs improvement
77,you're annoying as hell,you are being annoying
78,this explanation is trash,this explanation needs improvement
79,you are so stupid,I think you are mistaken
80,you're annoying as hell,you are being annoying
81,this system is stupid,this system has design issues
82,this code is shit,this code has problems
83,shut the fuck up,please be quiet
84,this code is shit,this code has problems
85,why are you so slow,please try to work faster
86,you clearly don't understand,you may want to review the topic
87,shut the fuck up,please be quiet
88,you clearly don't understand,you may want to review the topic
89,you clearly don't understand,you may want to review the topic
90,this system is stupid,this system has design issues
91,this feature is dumb,this feature may need improvement
92,this feature is dumb,this feature may need improvement
93,stop being dumb,please think more carefully
94,you're wasting everyone's time,please focus on the task
95,this system is stupid,this system has design issues
96,shut the fuck up,please be quiet
97,this game is fucking trash,this game is not good
98,this system is stupid,this system has design issues
99,you're wasting everyone's time,please focus on the task
100,this is fucking terrible,this is very bad
101,you are so stupid,I think you are mistaken
102,you clearly don't understand,you may want to review the topic
103,why are you so useless,you might need more help
104,shut the fuck up,please be quiet
105,this feature is dumb,this feature may need improvement
106,shut the fuck up,please be quiet
107,this system is stupid,this system has design issues
108,this project is bullshit,this project has issues
109,this feature is dumb,this feature may need improvement
110,this explanation is trash,this explanation needs improvement
111,this system is stupid,this system has design issues
112,you are so stupid,I think you are mistaken
113,your idea is stupid,I disagree with your idea
114,that was a dumb decision,that may not be the best decision
115,this feature is dumb,this feature may need improvement
116,why are you so useless,you might need more help
117,this project is bullshit,this project has issues
118,your work is garbage,this work needs improvement
119,this feature is dumb,this feature may need improvement
120,your work is garbage,this work needs improvement
121,stop being dumb,please think more carefully
122,that was a dumb decision,that may not be the best decision
123,you clearly don't understand,you may want to review the topic
124,that was a dumb decision,that may not be the best decision
125,what the hell are you doing,what are you doing
126,your work is garbage,this work needs improvement
127,this is fucking terrible,this is very bad
128,you clearly don't understand,you may want to review the topic
129,your work is garbage,this work needs improvement
130,this feature is dumb,this feature may need improvement
131,this code is shit,this code has problems
132,you're the worst teammate,we should cooperate better
133,you're the worst teammate,we should cooperate better
134,why are you so useless,you might need more help
135,this feature is dumb,this feature may need improvement
136,you're the worst teammate,we should cooperate better
137,this is fucking terrible,this is very bad
138,why are you so useless,you might need more help
139,that was a dumb decision,that may not be the best decision
140,this code is shit,this code has problems
141,this project is bullshit,this project has issues
142,shut the fuck up,please be quiet
143,your idea is stupid,I disagree with your idea
144,shut the fuck up,please be quiet
145,that was a dumb decision,that may not be the best decision
146,this code is shit,this code has problems
147,your idea is stupid,I disagree with your idea
148,you're the worst teammate,we should cooperate better
149,your work is garbage,this work needs improvement
150,this project is bullshit,this project has issues
151,you clearly don't understand,you may want to review the topic
152,you're annoying as hell,you are being annoying
153,stop being dumb,please think more carefully
154,stop being dumb,please think more carefully
155,this feature is dumb,this feature may need improvement
156,why are you so useless,you might need more help
157,this code is shit,this code has problems
158,stop being dumb,please think more carefully
159,shut the fuck up,please be quiet
160,stop being dumb,please think more carefully
161,shut the fuck up,please be quiet
162,this explanation is trash,this explanation needs improvement
163,your work is garbage,this work needs improvement
164,stop being dumb,please think more carefully
165,shut the fuck up,please be quiet
166,why are you so useless,you might need more help
167,why are you so useless,you might need more help
168,you are so stupid,I think you are mistaken
169,that was a dumb decision,that may not be the best decision
170,your idea is stupid,I disagree with your idea
171,this system is stupid,this system has design issues
172,why are you so useless,you might need more help
173,this system is stupid,this system has design issues
174,you're wasting everyone's time,please focus on the task
175,this explanation is trash,this explanation needs improvement
176,shut the fuck up,please be quiet
177,why are you so slow,please try to work faster
178,this code is shit,this code has problems
179,this is fucking terrible,this is very bad
180,you're annoying as hell,you are being annoying
181,this is fucking terrible,this is very bad
182,you're the worst teammate,we should cooperate better
183,your work is garbage,this work needs improvement
184,you clearly don't understand,you may want to review the topic
185,this is fucking terrible,this is very bad
186,this game is fucking trash,this game is not good
187,you're annoying as hell,you are being annoying
188,you are so stupid,I think you are mistaken
189,you clearly don't understand,you may want to review the topic
190,that was a dumb decision,that may not be the best decision
191,stop being dumb,please think more carefully
192,you clearly don't understand,you may want to review the topic
193,this project is bullshit,this project has issues
194,this feature is dumb,this feature may need improvement
195,you're the worst teammate,we should cooperate better
196,this code is shit,this code has problems
197,shut the fuck up,please be quiet
198,stop being dumb,please think more carefully
199,what the hell are you doing,what are you doing
200,this is fucking terrible,this is very bad
201,you're wasting everyone's time,please focus on the task
202,this feature is dumb,this feature may need improvement
203,what the hell are you doing,what are you doing
204,your idea is stupid,I disagree with your idea
205,this game is fucking trash,this game is not good
206,why are you so useless,you might need more help
207,this explanation is trash,this explanation needs improvement
208,you are so stupid,I think you are mistaken
209,this code is shit,this code has problems
210,you're the worst teammate,we should cooperate better
211,what the hell are you doing,what are you doing
212,what the hell are you doing,what are you doing
213,you're wasting everyone's time,please focus on the task
214,why are you so useless,you might need more help
215,why are you so useless,you might need more help
216,you're the worst teammate,we should cooperate better
217,your work is garbage,this work needs improvement
218,your work is garbage,this work needs improvement
219,this is fucking terrible,this is very bad
220,what the hell are you doing,what are you doing
221,you're the worst teammate,we should cooperate better
222,why are you so useless,you might need more help
223,this code is shit,this code has problems
224,what the hell are you doing,what are you doing
225,this system is stupid,this system has design issues
226,this code is shit,this code has problems
227,your idea is stupid,I disagree with your idea
228,this game is fucking trash,this game is not good
229,this explanation is trash,this explanation needs improvement
230,you are so stupid,I think you are mistaken
231,this system is stupid,this system has design issues
232,this project is bullshit,this project has issues
233,why are you so useless,you might need more help
234,what the hell are you doing,what are you doing
235,your work is garbage,this work needs improvement
236,that was a dumb decision,that may not be the best decision
237,this code is shit,this code has problems
238,you're wasting everyone's time,please focus on the task
239,this explanation is trash,this explanation needs improvement
240,this code is shit,this code has problems
241,why are you so useless,you might need more help
242,you clearly don't understand,you may want to review the topic
243,this code is shit,this code has problems
244,this code is shit,this code has problems
245,you're wasting everyone's time,please focus on the task
246,this feature is dumb,this feature may need improvement
247,you're wasting everyone's time,please focus on the task
248,your idea is stupid,I disagree with your idea
249,shut the fuck up,please be quiet
250,this is fucking terrible,this is very bad
251,this is fucking terrible,this is very bad
252,you are so stupid,I think you are mistaken
253,why are you so slow,please try to work faster
254,this game is fucking trash,this game is not good
255,you're annoying as hell,you are being annoying
256,you're wasting everyone's time,please focus on the task
257,this explanation is trash,this explanation needs improvement
258,you're annoying as hell,you are being annoying
259,this project is bullshit,this project has issues
260,you're the worst teammate,we should cooperate better
261,why are you so slow,please try to work faster
262,shut the fuck up,please be quiet
263,this game is fucking trash,this game is not good
264,this project is bullshit,this project has issues
265,that was a dumb decision,that may not be the best decision
266,this is fucking terrible,this is very bad
267,you're annoying as hell,you are being annoying
268,you're wasting everyone's time,please focus on the task
269,that was a dumb decision,that may not be the best decision
270,this system is stupid,this system has design issues
271,your work is garbage,this work needs improvement
272,this explanation is trash,this explanation needs improvement
273,you're wasting everyone's time,please focus on the task
274,what the hell are you doing,what are you doing
275,you are so stupid,I think you are mistaken
276,stop being dumb,please think more carefully
277,what the hell are you doing,what are you doing
278,you're annoying as hell,you are being annoying
279,this code is shit,this code has problems
280,shut the fuck up,please be quiet
281,you're the worst teammate,we should cooperate better
282,this system is stupid,this system has design issues
283,this game is fucking trash,this game is not good
284,this game is fucking trash,this game is not good
285,this game is fucking trash,this game is not good
286,you are so stupid,I think you are mistaken
287,you're the worst teammate,we should cooperate better
288,you clearly don't understand,you may want to review the topic
289,you clearly don't understand,you may want to review the topic
290,why are you so slow,please try to work faster
291,you're the worst teammate,we should cooperate better
292,you clearly don't understand,you may want to review the topic
293,you clearly don't understand,you may want to review the topic
294,you are so stupid,I think you are mistaken
295,what the hell are you doing,what are you doing
296,you're annoying as hell,you are being annoying
297,this project is bullshit,this project has issues
298,that was a dumb decision,that may not be the best decision
299,shut the fuck up,please be quiet
300,stop being dumb,please think more carefully
301,stop being dumb,please think more carefully
302,this feature is dumb,this feature may need improvement
303,this game is fucking trash,this game is not good
304,shut the fuck up,please be quiet
305,this game is fucking trash,this game is not good
306,that was a dumb decision,that may not be the best decision
307,this code is shit,this code has problems
308,your work is garbage,this work needs improvement
309,why are you so slow,please try to work faster
310,this is fucking terrible,this is very bad
311,you're annoying as hell,you are being annoying
312,this system is stupid,this system has design issues
313,this code is shit,this code has problems
314,this is fucking terrible,this is very bad
315,you're annoying as hell,you are being annoying
316,this game is fucking trash,this game is not good
317,you're wasting everyone's time,please focus on the task
318,this is fucking terrible,this is very bad
319,this code is shit,this code has problems
320,this game is fucking trash,this game is not good
321,you're wasting everyone's time,please focus on the task
322,your work is garbage,this work needs improvement
323,stop being dumb,please think more carefully
324,this system is stupid,this system has design issues
325,that was a dumb decision,that may not be the best decision
326,this game is fucking trash,this game is not good
327,what the hell are you doing,what are you doing
328,stop being dumb,please think more carefully
329,what the hell are you doing,what are you doing
330,shut the fuck up,please be quiet
331,you're annoying as hell,you are being annoying
332,this system is stupid,this system has design issues
333,you're annoying as hell,you are being annoying
334,this explanation is trash,this explanation needs improvement
335,this code is shit,this code has problems
336,what the hell are you doing,what are you doing
337,this feature is dumb,this feature may need improvement
338,this code is shit,this code has problems
339,why are you so slow,please try to work faster
340,this feature is dumb,this feature may need improvement
341,this system is stupid,this system has design issues
342,you're the worst teammate,we should cooperate better
343,why are you so slow,please try to work faster
344,this feature is dumb,this feature may need improvement
345,you clearly don't understand,you may want to review the topic
346,you clearly don't understand,you may want to review the topic
347,shut the fuck up,please be quiet
348,this explanation is trash,this explanation needs improvement
349,why are you so slow,please try to work faster
350,this game is fucking trash,this game is not good
351,your work is garbage,this work needs improvement
352,this system is stupid,this system has design issues
353,your work is garbage,this work needs improvement
354,why are you so slow,please try to work faster
355,this system is stupid,this system has design issues
356,stop being dumb,please think more carefully
357,you are so stupid,I think you are mistaken
358,your idea is stupid,I disagree with your idea
359,what the hell are you doing,what are you doing
360,this system is stupid,this system has design issues
361,this is fucking terrible,this is very bad
362,this code is shit,this code has problems
363,your work is garbage,this work needs improvement
364,this explanation is trash,this explanation needs improvement
365,you are so stupid,I think you are mistaken
366,why are you so useless,you might need more help
367,you're wasting everyone's time,please focus on the task
368,stop being dumb,please think more carefully
369,this game is fucking trash,this game is not good
370,you're annoying as hell,you are being annoying
371,why are you so slow,please try to work faster
372,you're annoying as hell,you are being annoying
373,this project is bullshit,this project has issues
374,you're the worst teammate,we should cooperate better
375,this feature is dumb,this feature may need improvement
376,what the hell are you doing,what are you doing
377,you're the worst teammate,we should cooperate better
378,this feature is dumb,this feature may need improvement
379,why are you so slow,please try to work faster
380,this project is bullshit,this project has issues
381,this explanation is trash,this explanation needs improvement
382,why are you so slow,please try to work faster
383,this game is fucking trash,this game is not good
384,your idea is stupid,I disagree with your idea
385,why are you so slow,please try to work faster
386,this system is stupid,this system has design issues
387,why are you so useless,you might need more help
388,this is fucking terrible,this is very bad
389,this code is shit,this code has problems
390,you clearly don't understand,you may want to review the topic
391,why are you so useless,you might need more help
392,what the hell are you doing,what are you doing
393,stop being dumb,please think more carefully
394,this code is shit,this code has problems
395,you're wasting everyone's time,please focus on the task
396,your work is garbage,this work needs improvement
397,your work is garbage,this work needs improvement
398,you're annoying as hell,you are being annoying
399,shut the fuck up,please be quiet
400,you're wasting everyone's time,please focus on the task
401,this is fucking terrible,this is very bad
402,why are you so useless,you might need more help
403,this feature is dumb,this feature may need improvement
404,your idea is stupid,I disagree with your idea
405,you're the worst teammate,we should cooperate better
406,you're the worst teammate,we should cooperate better
407,you're annoying as hell,you are being annoying
408,your idea is stupid,I disagree with your idea
409,this system is stupid,this system has design issues
410,this explanation is trash,this explanation needs improvement
411,this is fucking terrible,this is very bad
412,stop being dumb,please think more carefully
413,this is fucking terrible,this is very bad
414,this code is shit,this code has problems
415,you are so stupid,I think you are mistaken
416,this system is stupid,this system has design issues
417,what the hell are you doing,what are you doing
418,this explanation is trash,this explanation needs improvement
419,why are you so useless,you might need more help
420,you're annoying as hell,you are being annoying
421,this system is stupid,this system has design issues
422,this feature is dumb,this feature may need improvement
423,this is fucking terrible,this is very bad
424,you're annoying as hell,you are being annoying
425,you clearly don't understand,you may want to review the topic
426,you're annoying as hell,you are being annoying
427,this feature is dumb,this feature may need improvement
428,this project is bullshit,this project has issues
429,this game is fucking trash,this game is not good
430,you're the worst teammate,we should cooperate better
431,stop being dumb,please think more carefully
432,that was a dumb decision,that may not be the best decision
433,you're wasting everyone's time,please focus on the task
434,this explanation is trash,this explanation needs improvement
435,you're the worst teammate,we should cooperate better
436,this project is bullshit,this project has issues
437,stop being dumb,please think more carefully
438,why are you so useless,you might need more help
439,you're wasting everyone's time,please focus on the task
440,your work is garbage,this work needs improvement
441,what the hell are you doing,what are you doing
442,you clearly don't understand,you may want to review the topic
443,this explanation is trash,this explanation needs improvement
444,stop being dumb,please think more carefully
445,you clearly don't understand,you may want to review the topic
446,what the hell are you doing,what are you doing
447,shut the fuck up,please be quiet
448,you're annoying as hell,you are being annoying
449,you're wasting everyone's time,please focus on the task
450,this project is bullshit,this project has issues
451,this feature is dumb,this feature may need improvement
452,your idea is stupid,I disagree with your idea
453,this feature is dumb,this feature may need improvement
454,what the hell are you doing,what are you doing
455,this is fucking terrible,this is very bad
456,this game is fucking trash,this game is not good
457,why are you so slow,please try to work faster
458,why are you so useless,you might need more help
459,this code is shit,this code has problems
460,you're annoying as hell,you are being annoying
461,this feature is dumb,this feature may need improvement
462,why are you so slow,please try to work faster
463,this code is shit,this code has problems
464,that was a dumb decision,that may not be the best decision
465,this is fucking terrible,this is very bad
466,this project is bullshit,this project has issues
467,this is fucking terrible,this is very bad
468,this explanation is trash,this explanation needs improvement
469,what the hell are you doing,what are you doing
470,you clearly don't understand,you may want to review the topic
471,this project is bullshit,this project has issues
472,this game is fucking trash,this game is not good
473,why are you so useless,you might need more help
474,this code is shit,this code has problems
475,you're annoying as hell,you are being annoying
476,this is fucking terrible,this is very bad
477,this game is fucking trash,this game is not good
478,your idea is stupid,I disagree with your idea
479,this system is stupid,this system has design issues
480,your work is garbage,this work needs improvement
481,what the hell are you doing,what are you doing
482,you're wasting everyone's time,please focus on the task
483,this project is bullshit,this project has issues
484,this game is fucking trash,this game is not good
485,you're the worst teammate,we should cooperate better
486,this code is shit,this code has problems
487,you're wasting everyone's time,please focus on the task
488,you are so stupid,I think you are mistaken
489,stop being dumb,please think more carefully
490,this code is shit,this code has problems
491,you're the worst teammate,we should cooperate better
492,this project is bullshit,this project has issues
493,this feature is dumb,this feature may need improvement
494,you are so stupid,I think you are mistaken
495,shut the fuck up,please be quiet
496,why are you so useless,you might need more help
497,this system is stupid,this system has design issues
498,what the hell are you doing,what are you doing
499,you're annoying as hell,you are being annoying
500,this feature is dumb,this feature may need improvement
501,what the hell are you doing,what are you doing
